issn_input_cr,title_cr,publisher_cr,total_dois_cr
1023-0564,Acta Structilia,Sun Media Bloemfontein Pty Ltd,95
2415-0487,Acta Structilia,Sun Media Bloemfontein Pty Ltd,95
1015-8758,Acta Theologica,Sun Media Bloemfontein Pty Ltd,898
2309-9089,Acta Theologica,Sun Media Bloemfontein Pty Ltd,898
0850-3907,Africa Development,African Journals Online,278
1560-8646,Africa Sanguine,African Journals Online,10
1021-9730,African Crop Science Journal,African Journals Online,853
2072-6589,African Crop Science Journal,African Journals Online,853
1680-6905,African Health Sciences,African Journals Online,1786
1119-5096,African Journal of Biomedical Research,African Journals Online,245
1684-5315,AFRICAN JOURNAL OF BIOTECHNOLOGY,Academic Journals,6756
2227-5835,NA,NA,NA
1595-689X,African Journal of Clinical and Experimental Microbiology,African Journals Online,639
1531-4065,African Journal of Drug and Alcohol Studies,African Journals Online,32
1821-8148,NA,NA,NA
2453-5966,NA,NA,NA
2508-1128,African Journal of Educational Studies in Mathematics and Sciences,African Journals Online,45
1996-0786,African Journal of Environmental Science and Technology,Academic Journals,564
1684-5358,African Journal of Food Agriculture Nutrition and Development,"""African Journal of Food, Agriculture, Nutrition and Development""",359
1684-5374,NA,NA,NA
2006-0165,African Journal of Infectious Diseases,African Traditional Herbal Medicine Supporters Initiative (ATHMSI),209
2343-6689,African Journal of Management Research,African Journals Online,9
2458-7435,African Journal of Management Research,African Journals Online,9
1992-2647,African Journal of Neurological Sciences,African Journals Online,141
1015-8618,African Journal of Neurological Sciences,African Journals Online,141
0189-5710,African Journal of Oral Health,African Journals Online,59
2141-8322,African Journal of Physiotherapy and Rehabilitation Sciences,African Journals Online,77
1118-4841,African Journal of Reproductive Health,African Journal of Reproductive Health (AJRH),490
1563-3934,NA,NA,NA
2409-5605,NA,NA,NA
0189-6016,African Journal of Traditional Complementary and Alternative Medicines,African Traditional Herbal Medicine Supporters Initiative (ATHMSI),1393
1110-5704,African Journal of Urology,Springer (Biomed Central Ltd.),868
1562-6997,African Journal on Conflict Resolution,African Journals Online,118
1994-9057,African Research Review,African Journals Online,1333
2070-0083,African Research Review,African Journals Online,1333
1728-774X,African Safety Promotion A Journal of Injury and Violence Prevention,African Journals Online,119
1027-4332,African Sociological Review / Revue Africaine de Sociologie,African Journals Online,209
2316-090X,Afrika Statistika,Statistics and Probability African Society (SPAS),222
1813-548X,Afrique Science Revue Internationale des Sciences et Technologie,African Journals Online,128
2225-8590,AFRREV IJAH An International Journal of Arts and Humanities,African Journals Online,371
2227-5452,AFRREV IJAH An International Journal of Arts and Humanities,African Journals Online,371
2225-8604,AFRREV LALIGENS An International Journal of Language Literature and Gender Studies,African Journals Online,137
2227-5460,AFRREV LALIGENS An International Journal of Language Literature and Gender Studies,African Journals Online,137
2225-8612,AFRREV STECH An International Journal of Science and Technology,African Journals Online,109
2227-5444,AFRREV STECH An International Journal of Science and Technology,African Journals Online,109
1119-7455,Agro-Science,African Journals Online,531
1015-2288,Agronomie Africaine,African Journals Online,201
1117-9996,Agrosearch,African Journals Online,211
1110-0834,NA,NA,NA
2090-2948,NA,NA,NA
2226-6054,Anatomy Journal of Africa,African Journals Online,135
2305-9478,Anatomy Journal of Africa,African Journals Online,135
1597-3115,Animal Research International,African Journals Online,225
1999-9674,Annals of African Surgery,African Journals Online,231
2523-0816,NA,NA,NA
1597-1627,Annals of Ibadan Postgraduate Medicine,African Journals Online,118
2141-9248,Annals of Medical and Health Sciences Research,Medknow Publications,626
1687-4137,Annals of Pediatric Surgery,Springer (Biomed Central Ltd.),357
1694-2086,Archives of Medical and Biomedical Research,African Journals Online,31
1694-2078,Archives of Medical and Biomedical Research,African Journals Online,31
1596-6035,NA,NA,NA
2006-6996,Bayero Journal of Pure and Applied Sciences,African Journals Online,1173
1011-3924,Bulletin of the Chemical Society of Ethiopia,African Journals Online,992
