issn_input_cr,title_cr,publisher_cr,total_dois_cr
0794-6961,Abia State University Medical Students Association Journal,African Journals Online ,66
1023-0564,Acta Structilia,Sun Media Bloemfontein Pty Ltd,95
2415-0487,Acta Structilia,Sun Media Bloemfontein Pty Ltd,95
1015-8758,Acta Theologica,Sun Media Bloemfontein Pty Ltd,898
2309-9089,Acta Theologica,Sun Media Bloemfontein Pty Ltd,898
0850-3907,Africa Development,African Journals Online ,278
0256-2804,Africa Insight,African Journals Online ,443
1995-641X,Africa Insight,African Journals Online ,443
1560-8646,Africa Sanguine,African Journals Online ,10
1024-0969,African Anthropologist,African Journals Online ,70
1021-9730,African Crop Science Journal,African Journals Online ,853
2072-6589,African Crop Science Journal,African Journals Online ,853
0850-8518,NA,NA,NA
1680-6905,African Health Sciences,African Journals Online ,1786
2411-6939,African Journal for Physical Activity and Health Sciences (AJPHES),"""African Journal for Physical Activity and Health Sciences, Tshwane University of Technology""",73
1727-9445,African Journal of AIDS Research,National Inquiry Services Center (NISC),737
1608-5906,African Journal of AIDS Research,National Inquiry Services Center (NISC),737
0794-2184,African Journal of Anaesthesia and Intensive Care,African Journals Online ,29
1119-023X,African Journal of Applied Zoology and Environmental Biology,African Journals Online ,45
1608-5914,African Journal of Aquatic Science,National Inquiry Services Center (NISC),940
1727-9364,African Journal of Aquatic Science,National Inquiry Services Center (NISC),940
1119-5096,African Journal of Biomedical Research,African Journals Online ,245
1684-5315,AFRICAN JOURNAL OF BIOTECHNOLOGY,Academic Journals,6761
2227-5835,NA,NA,NA
1595-689X,African Journal of Clinical and Experimental Microbiology,African Journals Online ,651
1119-7056,African Journal of Cross-Cultural Psychology and Sport Facilitation,African Journals Online ,54
1531-4065,African Journal of Drug and Alcohol Studies,African Journals Online ,32
1116-4875,African Journal of Economic Policy,African Journals Online ,80
1821-8148,NA,NA,NA
2453-5966,NA,NA,NA
2508-1128,African Journal of Educational Studies in Mathematics and Sciences,African Journals Online ,45
1116-6495,African Journal of Endocrinology and Metabolism,African Journals Online ,9
1996-0786,African Journal of Environmental Science and Technology,Academic Journals,567
0856-6372,African Journal of Finance and Management,African Journals Online ,127
1608-1366,African Journal of Food and Nutritional Security,African Journals Online ,6
1684-5358,African Journal of Food Agriculture Nutrition and Development,"""African Journal of Food, Agriculture, Nutrition and Development""",359
1684-5374,NA,NA,NA
2218-5615,African Journal of Governance and Development (AJGD),"""University of KwaZulu-Natal School of Management, IT and Governance""",5
1022-9272,African Journal of Health Sciences,African Journals Online ,125
2006-0165,African Journal of Infectious Diseases,African Traditional Herbal Medicine Supporters Initiative (ATHMSI),209
0850-7902,African Journal of International Affairs,African Journals Online ,60
0795-4778,NA,NA,NA
1596-4019,NA,NA,NA
2343-6689,African Journal of Management Research,African Journals Online ,9
2458-7435,African Journal of Management Research,African Journals Online ,9
1814-232X,African Journal of Marine Science,National Inquiry Services Center (NISC),999
1814-2338,African Journal of Marine Science,National Inquiry Services Center (NISC),999
1992-2647,African Journal of Neurological Sciences,African Journals Online ,141
1015-8618,African Journal of Neurological Sciences,African Journals Online ,141
0189-5710,African Journal of Oral Health,African Journals Online ,59
1608-7232,African Journal of Oral Health Sciences,African Journals Online ,45
2354-4325,NA,NA,NA
0189-6725,African Journal of Paediatric Surgery,Medknow Publications,766
2141-8322,African Journal of Physiotherapy and Rehabilitation Sciences,African Journals Online ,77
1027-0353,African Journal of Political Science,African Journals Online ,63
1994-8220,African Journal of Psychiatry,OMICS Publishing Group,494
1022-0119,African Journal of Range and Forage Science,National Inquiry Services Center (NISC),828
1727-9380,African Journal of Range and Forage Science,National Inquiry Services Center (NISC),828
1118-4841,African Journal of Reproductive Health,African Journal of Reproductive Health (AJRH),490
2307-2482,NA,NA,NA
1607-9949,African Journal of Science and Technology,African Journals Online ,152
1563-3934,NA,NA,NA
2409-5605,NA,NA,NA
2315-6317,NA,NA,NA
0189-6016,African Journal of Traditional Complementary and Alternative Medicines,African Traditional Herbal Medicine Supporters Initiative (ATHMSI),1393
0002-0036,African Journal of Tropical Hydrobiology and Fisheries,African Journals Online ,45
1110-5704,African Journal of Urology,Springer (Biomed Central Ltd.),869
1562-6997,African Journal on Conflict Resolution,African Journals Online ,118
1994-9057,African Research Review,African Journals Online ,1333
2070-0083,African Research Review,African Journals Online ,1333
2042-1478,NA,NA,NA
1728-774X,African Safety Promotion A Journal of Injury and Violence Prevention,African Journals Online ,119
1027-4332,African Sociological Review / Revue Africaine de Sociologie,African Journals Online ,209
1119-7196,African Studies Monographs,African Journals Online ,5
1562-7020,African Zoology,Informa UK (Taylor & Francis),903
2224-073X,African Zoology,Informa UK (Taylor & Francis),903
2316-090X,Afrika Statistika,Statistics and Probability African Society (SPAS),222
2141-162X,NA,NA,NA
1813-548X,Afrique Science Revue Internationale des Sciences et Technologie,African Journals Online ,128
2225-8590,AFRREV IJAH An International Journal of Arts and Humanities,African Journals Online ,371
2227-5452,AFRREV IJAH An International Journal of Arts and Humanities,African Journals Online ,371
2225-8604,AFRREV LALIGENS An International Journal of Language Literature and Gender Studies,African Journals Online ,137
2227-5460,AFRREV LALIGENS An International Journal of Language Literature and Gender Studies,African Journals Online ,137
2225-8612,AFRREV STECH An International Journal of Science and Technology,African Journals Online ,109
2227-5444,AFRREV STECH An International Journal of Science and Technology,African Journals Online ,109
0855-5591,Agricultural and Food Science Journal of Ghana,African Journals Online ,38
1119-7455,Agro-Science,African Journals Online ,531
1015-2288,Agronomie Africaine,African Journals Online ,201
1117-9996,Agrosearch,African Journals Online ,211
1110-0834,NA,NA,NA
2090-2948,NA,NA,NA
2707-7179,NA,NA,NA
2226-6054,Anatomy Journal of Africa,African Journals Online ,135
2305-9478,Anatomy Journal of Africa,African Journals Online ,135
0794-4721,Animal Production Research Advances,African Journals Online ,209
1597-3115,Animal Research International,African Journals Online ,225
0254-4296,Annales Aequatoria,African Journals Online ,107
1659-5009,Annales des Sciences Agronomiques,African Journals Online ,109
1596-3519,Annals of African Medicine,Medknow Publications,662
1999-9674,Annals of African Surgery,African Journals Online ,231
2523-0816,NA,NA,NA
1596-6569,Annals of Biomedical Sciences,African Journals Online ,143
2141-4343,NA,NA,NA
1597-1627,Annals of Ibadan Postgraduate Medicine,African Journals Online ,118
2141-9248,Annals of Medical and Health Sciences Research,Medknow Publications,626
2141-1263,NA,NA,NA
0331-3131,Annals of Nigerian Medicine,Medknow Publications,128
1687-4137,Annals of Pediatric Surgery,Springer (Biomed Central Ltd.),357
1858-554X,Arab Journal of Nephrology and Transplantation,African Journals Online ,62
1467-6958,Archives of Ibadan Medicine,African Journals Online ,144
1694-2086,Archives of Medical and Biomedical Research,African Journals Online ,31
1694-2078,Archives of Medical and Biomedical Research,African Journals Online ,31
1596-6305,NA,NA,NA
2545-5672,NA,NA,NA
2635-3792,NA,NA,NA
2006-6996,Bayero Journal of Pure and Applied Sciences,African Journals Online ,1173
0795-0268,Benin Journal of Postgraduate Medicine,African Journals Online ,69
1596-7409,Bio-Research,African Journals Online ,315
2705-3822,NA,NA,NA
0795-8080,Biokemistri,African Journals Online ,85
1810-0163,Botswana Journal of Economics,African Journals Online ,17
1019-1593,Botswana Journal of Technology,African Journals Online ,125
1597-2836,Bowen Journal of Agriculture,African Journals Online ,92
0378-9721,Bulletin of Animal Health and Production in Africa,African Journals Online ,295
1011-3924,Bulletin of the Chemical Society of Ethiopia,African Journals Online ,1011
1726-801X,NA,NA,NA
2705-313X,Caliphate Journal of Science and Technology,African Journals Online ,14
2705-3121,Caliphate Journal of Science and Technology,African Journals Online ,14
1813-3320,Cameroon Journal of Agricultural Science,African Journals Online ,36
1816-0573,Cameroon Journal of Experimental Biology,African Journals Online ,134
0008-9176,Central African Journal of Medicine,African Journals Online ,233
2276-707X,NA,NA,NA
2384-6028,NA,NA,NA
1812-5840,Clinics in Mother and Child Health,OMICS Publishing Group,224
2090-7214,Clinics in Mother and Child Health,OMICS Publishing Group,224
1115-2664,Communicate Journal of Library and Information Science,African Journals Online ,14
2343-6530,Contemporary Journal of African Studies,African Journals Online ,55
0256-2170,NA,NA,NA
2078-5143,NA,NA,NA
0189-0263,NA,NA,NA
2006-6910,NA,NA,NA
0256-004,NA,NA,NA
2310-7103,Critical Studies in Teaching and Learning,University of the Western Cape Library Service,134
1013-929X,Current Writing,Informa UK (Taylor & Francis),762
2159-9130,Current Writing,Informa UK (Taylor & Francis),762
0856-7212,Dar Es Salaam Medical Students Journal,African Journals Online ,68
1465-0142,Democracy & Development Journal of West African Affairs,African Journals Online ,11
1015-079X,Discovery and Innovation,African Journals Online ,375
0012-8325,East African Agricultural and Forestry Journal,Informa UK (Taylor & Francis),1921
2714-2183,NA,NA,NA
2714-2132,EAST AFRICAN JOURNAL OF EDUCATION AND SOCIAL SCIENCES,Gitoya Centre for Academic Research and Dissemination,152
1021-8858,East African Journal of Peace and Human Rights,African Journals Online ,37
0856-8960,East African Journal of Public Health,African Journals Online ,154
1992-0407,East African Journal of Sciences,African Journals Online ,92
1811-7503,East African Journal of Statistics,African Journals Online ,29
0012-835X,East African Medical Journal,African Journals Online ,1308
1994-1072,East African Orthopaedic Journal,African Journals Online ,48
2664-0996,East Africa Science,East African Health Research Commission,61
2664-1003,East Africa Science,East African Health Research Commission,61
1026-552X,East and Central African Journal of Pharmaceutical Sciences,African Journals Online ,92
2073-9990,East and Central African Journal of Surgery,African Journals Online ,126
