issn_input,issn_l,display_name,publisher,works_count,created_date
0794-6961,0794-6961,Abia State University Medical Students Association Journal,African Journals Online,64,2022-02-03
1023-0564,1023-0564,Acta Structilia : Journal for the Physical and Development Sciences,AFRICAN SUN MeDIA,243,2017-10-27
2415-0487,1023-0564,Acta Structilia : Journal for the Physical and Development Sciences,AFRICAN SUN MeDIA,243,2017-10-27
1015-8758,1015-8758,Acta Theologica,AFRICAN SUN MeDIA,1085,2016-06-24
2309-9089,1015-8758,Acta Theologica,AFRICAN SUN MeDIA,1085,2016-06-24
0850-3907,0850-3907,Africa Development,African Journals Online,554,2016-06-24
0256-2804,0256-2804,Africa insight,African Journals Online,1556,2017-10-27
1995-641X,0256-2804,Africa insight,African Journals Online,1556,2017-10-27
1560-8646,1560-8646,Africa sanguine,African Journals Online,10,2022-02-03
1024-0969,1024-0969,African Anthropologist,African Journals Online,152,2016-06-24
1021-9730,1021-9730,African Crop Science Journal,African Journals Online,1286,2016-06-24
2072-6589,1021-9730,African Crop Science Journal,African Journals Online,1286,2016-06-24
0850-8518,NA,NA,NA,NA,NA
1680-6905,1680-6905,African Health Sciences,African Journals Online,2364,2016-06-24
2411-6939,2411-6939,African journal for physical activity and health sciences,"African Journal for Physical Activity and Health Sciences, Tshwane University of Technology",0,2022-02-03
1727-9445,1608-5906,African Journal of AIDS Research,Taylor & Francis,751,2016-06-24
1608-5906,1608-5906,African Journal of AIDS Research,Taylor & Francis,751,2016-06-24
0794-2184,0794-2184,Aluta digest magazine,African Journals Online,29,2022-02-03
1119-023X,1119-023X,African Journal of Applied Zoology and Environmental Biology,African Journals Online,45,2022-02-03
1608-5914,1608-5914,African Journal of Aquatic Science,Taylor & Francis,983,2016-06-24
1727-9364,1608-5914,African Journal of Aquatic Science,Taylor & Francis,983,2016-06-24
1119-5096,1119-5096,African Journal of Biomedical Research,African Journals Online,906,2016-06-24
1684-5315,1684-5315,African Journal of Biotechnology,Academic Journals,12970,2016-06-24
2227-5835,NA,NA,NA,NA,NA
1595-689X,1595-689X,African Journal of Clinical and Experimental Microbiology,African Journals Online,649,2017-10-27
1119-7056,1119-7056,African Journal of Cross-Cultural Psychology and Sport Facilitation,African Journals Online,54,2022-02-03
1531-4065,1531-4065,African journal of drug and alcohol studies,African Journals Online,141,2017-10-27
1116-4875,1116-4875,African Journal of Economic Policy,African Journals Online,105,2016-06-24
1821-8148,NA,NA,NA,NA,NA
2453-5966,NA,NA,NA,NA,NA
2508-1128,0855-501X,African Journal of Educational Studies in Mathematics and Sciences,African Journals Online,169,2016-06-24
1116-6495,1116-6495,African Journal of Endocrinology and Metabolism,African Journals Online,0,2022-02-03
1996-0786,1996-0786,African Journal of Environmental Science and Technology,Academic Journals,1052,2017-10-27
0856-6372,0856-6372,The African Journal of Finance and Management,African Journals Online,246,2017-10-27
1608-1366,1608-1366,The African journal of food and nutritional security,African Journals Online,6,2022-02-03
1684-5358,1684-5358,"African Journal of Food, Agriculture, Nutrition and Development","African Journal of Food, Agriculture, Nutrition and Development",1315,2016-06-24
1684-5374,1684-5358,"African Journal of Food, Agriculture, Nutrition and Development","African Journal of Food, Agriculture, Nutrition and Development",1315,2016-06-24
2218-5615,2218-5615,African journal of governance and development,"University of KwaZulu-Natal School of Management, IT and Governance",5,2022-02-03
1022-9272,1022-9272,African Journal of Health Sciences,African Journals Online,588,2016-06-24
2006-0165,2006-0165,African Journal of Infectious Diseases,African Traditional Herbal Medicine Supporters Initiative (ATHMSI),212,2016-06-24
0850-7902,0850-7902,African Journal of International Affairs,African Journals Online,85,2016-06-24
0795-4778,NA,NA,NA,NA,NA
1596-4019,NA,NA,NA,NA,NA
2343-6689,2343-6689,African Journal of Management Research,African Journals Online,0,2022-02-03
2458-7435,2343-6689,African Journal of Management Research,African Journals Online,0,2022-02-03
1814-232X,1814-232X,African Journal of Marine Science,Taylor & Francis,1846,2016-06-24
1814-2338,1814-232X,African Journal of Marine Science,Taylor & Francis,1846,2016-06-24
1992-2647,1015-8618,African Journal of Neurological Sciences,African Journals Online,400,2016-06-24
1015-8618,1015-8618,African Journal of Neurological Sciences,African Journals Online,400,2016-06-24
0189-5710,0189-5710,African Journal of Oral Health,African Journals Online,59,2022-02-03
1608-7232,1608-7232,African journal of oral health sciences,African Journals Online,45,2022-02-03
2354-4325,NA,NA,NA,NA,NA
0189-6725,0974-5998,African Journal of Paediatric Surgery,NA,911,2016-06-24
2141-8322,2141-8322,African Journal of Physiotherapy and Rehabilitation Sciences,African Journals Online,70,2022-02-03
1027-0353,1027-0353,African Journal of Political Science,African Journals Online,128,2017-10-27
1994-8220,1994-8220,African journal of psychiatry,OMICS Publishing Group,0,2022-02-03
1022-0119,1022-0119,African Journal of Range & Forage Science,Taylor & Francis,1610,2016-06-24
1727-9380,1022-0119,African Journal of Range & Forage Science,Taylor & Francis,1610,2016-06-24
1118-4841,1118-4841,African Journal of Reproductive Health,African Journal of Reproductive Health (AJRH),1727,2016-06-24
2307-2482,NA,NA,NA,NA,NA
1607-9949,1607-9949,African Journal of Science and Technology,African Journals Online,220,2016-06-24
1563-3934,NA,NA,NA,NA,NA
2409-5605,NA,NA,NA,NA,NA
2315-6317,NA,NA,NA,NA,NA
0189-6016,2505-0044,"African Journal of Traditional, Complementary and Alternative Medicines",African Traditional Herbal Medicine Supporters Initiative (ATHMSI),1630,2016-06-24
0002-0036,0002-0036,African journal of tropical hydrobiology and fisheries,African Journals Online,45,2022-02-03
1110-5704,1110-5704,African Journal of Urology,Springer Nature,1163,2016-06-24
1562-6997,1562-6997,African Journal on Conflict Resolution,African Journals Online,320,2016-06-24
1994-9057,1994-9057,African Research Review,African Journals Online,1330,2016-06-24
2070-0083,1994-9057,African Research Review,African Journals Online,1330,2016-06-24
2042-1478,NA,NA,NA,NA,NA
1728-774X,1728-774X,African Safety Promotion,African Journals Online,305,2016-06-24
1027-4332,1027-4332,African sociological review,African Journals Online,205,2022-02-03
1119-7196,1119-7196,African Studies Monographs,African Journals Online,0,2022-02-03
1562-7020,1562-7020,African Zoology,Taylor & Francis,1462,2016-06-24
2224-073X,1562-7020,African Zoology,Taylor & Francis,1462,2016-06-24
2316-090X,2316-090X,Afrika statistika,Statistics and Probability African Society (SPAS),36,2022-02-03
2141-162X,NA,NA,NA,NA,NA
1813-548X,1813-548X,Afrique science,African Journals Online,128,2022-02-03
2225-8590,2225-8590,AFRREV IJAH: An International Journal of Arts and Humanities,African Journals Online,553,2017-10-27
2227-5452,2225-8590,AFRREV IJAH: An International Journal of Arts and Humanities,African Journals Online,553,2017-10-27
2225-8604,2225-8604,"AFRREV LALIGENS: An International Journal of Language, Literature and Gender Studies",African Journals Online,227,2017-10-27
2227-5460,2225-8604,"AFRREV LALIGENS: An International Journal of Language, Literature and Gender Studies",African Journals Online,227,2017-10-27
2225-8612,2225-8612,AFRREV STECH: An International Journal of Science and Technology,African Journals Online,190,2017-10-27
2227-5444,2225-8612,AFRREV STECH: An International Journal of Science and Technology,African Journals Online,190,2017-10-27
0855-5591,0855-5591,Agricultural and Food Science Journal of Ghana,African Journals Online,38,2022-02-03
1119-7455,1119-7455,Agro-Science,African Journals Online,529,2022-02-03
1015-2288,1015-2288,Agronomie africaine,African Journals Online,201,2022-02-03
1117-9996,1117-9996,Agrosearch,African Journals Online,209,2022-02-03
1110-0834,NA,NA,NA,NA,NA
2090-2948,NA,NA,NA,NA,NA
2707-7179,NA,NA,NA,NA,NA
2226-6054,2226-6054,Anatomy journal of Africa,African Journals Online,0,2022-02-03
2305-9478,2226-6054,Anatomy journal of Africa,African Journals Online,0,2022-02-03
0794-4721,0794-4721,Animal Production Research Advances,African Journals Online,345,2017-10-27
1597-3115,1597-3115,Animal Research International,African Journals Online,604,2017-10-27
0254-4296,0254-4296,Annales aequatoria,African Journals Online,0,2022-02-03
1659-5009,1659-5009,Annales des Sciences Agronomiques,African Journals Online,108,2022-02-03
1596-3519,1596-3519,Annals of African Medicine,Medknow Publications,913,2016-06-24
1999-9674,1999-9674,The Annals of African Surgery,African Journals Online,358,2017-10-27
2523-0816,1999-9674,The Annals of African Surgery,African Journals Online,358,2017-10-27
1596-6569,1596-6569,Annals of Biomedical Sciences,African Journals Online,493,2017-10-27
2141-4343,NA,NA,NA,NA,NA
1597-1627,1597-1627,Annals of Ibadan postgraduate medicine,African Journals Online,323,2017-10-27
2141-9248,2141-9248,Annals of Medical and Health Sciences Research,Medknow Publications,1365,2017-09-25
2141-1263,NA,NA,NA,NA,NA
0331-3131,0331-3131,Annals of Nigerian Medicine,Medknow Publications,170,2017-10-27
1687-4137,1687-4137,Annals of Pediatric Surgery,Springer Nature,519,2017-10-27
1858-554X,1858-554X,Arab journal of nephrology and transplantation,African Journals Online,144,2017-10-27
1467-6958,1467-6958,Archives of Ibadan Medicine,African Journals Online,140,2017-10-27
1694-2086,1694-2086,Archivesof Medical and Biomedical Research,African Journals Online,0,2022-02-03
1694-2078,1694-2078,Archives of Medical and Biomedical Research,African Journals Online,30,2022-02-03
1596-6305,NA,NA,NA,NA,NA
2545-5672,NA,NA,NA,NA,NA
2635-3792,NA,NA,NA,NA,NA
2006-6996,2006-6996,Bayero Journal of Pure and Applied Sciences,African Journals Online,1218,2017-10-27
0795-0268,0795-0268,The Resident doctor,African Journals Online,69,2022-02-03
1596-7409,1596-7409,Bio-Research,African Journals Online,299,2022-02-03
2705-3822,2705-3822,Bio Research Journal,NA,13,2022-02-03
0795-8080,0795-8080,Biokemistri,African Journals Online,85,2022-02-03
1810-0163,1810-0163,The Botswana journal of economics,African Journals Online,17,2022-02-03
1019-1593,1019-1593,Botswana Journal of Technology,African Journals Online,199,2017-10-27
1597-2836,1597-2836,Bowen Journal of Agriculture,African Journals Online,117,2017-10-27
0378-9721,0378-9721,Bulletin of animal health and production in Africa,African Journals Online,0,2022-02-03
1011-3924,1011-3924,Bulletin of The Chemical Society of Ethiopia,African Journals Online,1212,2016-06-24
1726-801X,1011-3924,Bulletin of The Chemical Society of Ethiopia,African Journals Online,1212,2016-06-24
2705-313X,NA,NA,NA,NA,NA
2705-3121,NA,NA,NA,NA,NA
1813-3320,1813-3320,Cameroon journal of agricultural science,African Journals Online,36,2022-02-03
1816-0573,1816-0573,Cameroon Journal of Experimental Biology,African Journals Online,159,2017-10-27
0008-9176,0008-9176,The Central African journal of medicine,African Journals Online,3918,2017-09-25
2276-707X,NA,NA,NA,NA,NA
2384-6028,NA,NA,NA,NA,NA
1812-5840,1812-5840,Clinics in mother and child health,OMICS Publishing Group,7,2022-02-03
2090-7214,1812-5840,Clinics in mother and child health,OMICS Publishing Group,7,2022-02-03
1115-2664,1115-2664,Communicate Journal of Library and Information Science,African Journals Online,14,2022-02-03
2343-6530,2343-6530,Contemporary journal of African studies,African Journals Online,0,2022-02-03
0256-2170,NA,NA,NA,NA,NA
2078-5143,NA,NA,NA,NA,NA
0189-0263,NA,NA,NA,NA,NA
2006-6910,NA,NA,NA,NA,NA
0256-004,NA,NA,NA,NA,NA
2310-7103,2310-7103,Critical studies in teaching and learning,University of the Western Cape Library Service,112,2022-02-03
1013-929X,1013-929X,Current Writing: Text And Reception In Southern Africa,Taylor & Francis,599,2022-02-03
2159-9130,1013-929X,Current Writing: Text And Reception In Southern Africa,Taylor & Francis,599,2022-02-03
0856-7212,0856-7212,The Dar es Salaam Medical Students Journal,African Journals Online,67,2022-02-03
1465-0142,1465-0142,Democracy & development,African Journals Online,10,2022-02-03
1015-079X,1015-079X,Discovery and Innovation,African Journals Online,964,2016-06-24
0012-8325,0012-8325,East African agricultural and forestry journal,Taylor & Francis,1914,2017-10-27
2714-2183,2714-2132,East African Journal of Education and Social Sciences,Gitoya Centre for Academic Research and Dissemination,134,2022-02-03
2714-2132,2714-2132,East African Journal of Education and Social Sciences,Gitoya Centre for Academic Research and Dissemination,134,2022-02-03
1021-8858,1021-8858,East African journal of peace and human rights,African Journals Online,312,2017-10-27
0856-8960,0856-8960,East African journal of public health,African Journals Online,428,2017-10-27
1992-0407,1992-0407,East African Journal of Sciences,African Journals Online,249,2017-10-27
1811-7503,1811-7503,The East African journal of statistics,African Journals Online,28,2022-02-03
0012-835X,0012-835X,East African Medical Journal,African Journals Online,9129,2016-06-24
1994-1072,1994-1072,East African Orthopaedic Journal,African Journals Online,197,2017-10-27
2664-0996,2664-0996,East Africa science,East African Health Research Commission,33,2022-02-03
2664-1003,2664-0996,East Africa science,East African Health Research Commission,33,2022-02-03
1026-552X,1026-552X,East and Central African journal of pharmaceutical sciences,African Journals Online,0,2022-02-03
2073-9990,1024-297X,East and Central African Journal of Surgery,NA,962,2017-10-27
0377-7103,0377-7103,Eastern Africa Journal of Rural Development,African Journals Online,212,2017-10-27
1027-1775,1027-1775,Eastern Africa Social Science Research Review,NA,386,2016-06-24
1684-4173,1027-1775,Eastern Africa Social Science Research Review,NA,386,2016-06-24
1597-1260,1597-1260,Ebonyi Medical Journal,African Journals Online,159,2017-10-27
2006-7593,2006-7593,Edo Journal of Counselling,African Journals Online,59,2022-02-03
1687-1502,1687-1502,The Egyptian Journal of Biochemistry and Molecular Biology,African Journals Online,199,2017-10-27
1110-6859,1110-6859,Egyptian Journal of Biology,African Journals Online,212,2017-10-27
1110-6379,1110-6379,Egyptian Journal of Biomedical Sciences,African Journals Online,19,2022-02-03
1110-6093,1110-6093,Egyptian Journal of Biotechnology,African Journals Online,13,2022-02-03
1687-2002,1687-2002,The Egyptian Journal of Hospital Medicine,Egypts Presidential Specialized Council for Education and Scientific Research,4527,2017-10-27
2090-7125,1687-2002,The Egyptian Journal of Hospital Medicine,Egypts Presidential Specialized Council for Education and Scientific Research,4527,2017-10-27
1110-8630,1110-8630,Egyptian Journal of Medical Human Genetics,Springer Nature,754,2020-06-19
1110-5593,1110-5593,Egyptian Journal of Medical Laboratory Sciences,African Journals Online,0,2022-02-03
1110-6867,1110-6867,Egyptian Journal of Natural History,African Journals Online,13,2022-02-03
2006-1838,2006-1838,Ekpoma Journal of Theatre and Media Arts,African Journals Online,83,2022-02-03
2449-1179,2006-1838,Ekpoma Journal of Theatre and Media Arts,African Journals Online,83,2022-02-03
0376-8902,0376-8902,English in Africa,African Journals Online,650,2017-10-27
2006-0459,NA,NA,NA,NA,NA
2705-3636,NA,NA,NA,NA,NA
2354-1814,NA,NA,NA,NA,NA
2682-5961,NA,NA,NA,NA,NA
1010-2728,1010-2728,Ergonomics SA : Journal of the Ergonomics Society of South Africa,African Journals Online,111,2017-10-27
0376-4753,0376-4753,ESARBICA Journal: Journal of the Eastern and Southern Africa Regional Branch of the International Council on Archives,African Journals Online,220,2017-10-27
0257-2605,NA,NA,NA,NA,NA
2415-2382,NA,NA,NA,NA,NA
1819-8678,1819-8678,Ethiopian Journal of Biological Sciences,African Journals Online,220,2017-10-27
2311-9772,2311-9772,The Ethiopian journal of business and economics,African Journals Online,25,2022-02-03
