issn_input,issn_l,id,display_name,publisher,works_count,created_date,match_issn
0794-6961,0794-6961,V4210218058,Abia State University Medical Students Association Journal,African Journals Online,64,2022-02-03,issn
1023-0564,1023-0564,V2764665916,Acta Structilia : Journal for the Physical and Development Sciences,AFRICAN SUN MeDIA,241,2017-10-27,issn
2415-0487,1023-0564,V2764665916,Acta Structilia : Journal for the Physical and Development Sciences,AFRICAN SUN MeDIA,241,2017-10-27,issn
1015-8758,1015-8758,V79873615,Acta Theologica,AFRICAN SUN MeDIA,1086,2016-06-24,issn
2309-9089,1015-8758,V79873615,Acta Theologica,AFRICAN SUN MeDIA,1086,2016-06-24,issn
0850-3907,0850-3907,V143312382,Africa Development,African Journals Online,554,2016-06-24,issn
0256-2804,0256-2804,V2764927161,Africa insight,African Journals Online,1556,2017-10-27,issn
1995-641X,0256-2804,V2764927161,Africa insight,African Journals Online,1556,2017-10-27,issn
1560-8646,1560-8646,V4210207323,Africa sanguine,African Journals Online,10,2022-02-03,issn
1024-0969,1024-0969,V50250505,African Anthropologist,African Journals Online,152,2016-06-24,issn
1021-9730,1021-9730,V50725954,African Crop Science Journal,African Journals Online,1286,2016-06-24,issn
2072-6589,1021-9730,V50725954,African Crop Science Journal,African Journals Online,1286,2016-06-24,issn
0850-8518,NA,NA,NA,NA,NA,NA,NA
1680-6905,1680-6905,V167982310,African Health Sciences,African Journals Online,2364,2016-06-24,issn
2411-6939,2411-6939,V4210239504,African journal for physical activity and health sciences,"African Journal for Physical Activity and Health Sciences, Tshwane University of Technology",8,2022-02-03,issn
1727-9445,1608-5906,V71005283,African Journal of AIDS Research,Taylor & Francis,752,2016-06-24,issn
1608-5906,1608-5906,V71005283,African Journal of AIDS Research,Taylor & Francis,752,2016-06-24,issn
0794-2184,0794-2184,V4210211281,Aluta digest magazine,African Journals Online,29,2022-02-03,issn
1119-023X,1119-023X,V4210167828,African Journal of Applied Zoology and Environmental Biology,African Journals Online,45,2022-02-03,issn
1608-5914,1608-5914,V169546945,African Journal of Aquatic Science,Taylor & Francis,983,2016-06-24,issn
1727-9364,1608-5914,V169546945,African Journal of Aquatic Science,Taylor & Francis,983,2016-06-24,issn
1119-5096,1119-5096,V33826441,African Journal of Biomedical Research,African Journals Online,906,2016-06-24,issn
1684-5315,1684-5315,V118568332,African Journal of Biotechnology,Academic Journals,12976,2016-06-24,issn
2227-5835,NA,NA,NA,NA,NA,NA,NA
1595-689X,1595-689X,V2764858165,African Journal of Clinical and Experimental Microbiology,African Journals Online,661,2017-10-27,issn
1119-7056,1119-7056,V4210220513,African Journal of Cross-Cultural Psychology and Sport Facilitation,African Journals Online,54,2022-02-03,issn
2579-0242,2579-0242,V4210239009,African Journal of Current Medical Research,African Journal of Current Medical Research,22,2022-02-03,issn
1531-4065,1531-4065,V2765002491,African journal of drug and alcohol studies,African Journals Online,141,2017-10-27,issn
1116-4875,1116-4875,V115743143,African Journal of Economic Policy,African Journals Online,105,2016-06-24,issn
1821-8148,NA,NA,NA,NA,NA,NA,NA
2453-5966,NA,NA,NA,NA,NA,NA,NA
2508-1128,0855-501X,V27951828,African Journal of Educational Studies in Mathematics and Sciences,African Journals Online,169,2016-06-24,issn
1116-6495,1116-6495,V4210232841,African Journal of Endocrinology and Metabolism,African Journals Online,0,2022-02-03,issn
1996-0786,1996-0786,V2764782123,African Journal of Environmental Science and Technology,Academic Journals,1054,2017-10-27,issn
0856-6372,0856-6372,V2764859093,The African Journal of Finance and Management,African Journals Online,246,2017-10-27,issn
1608-1366,1608-1366,V4210176697,The African journal of food and nutritional security,African Journals Online,6,2022-02-03,issn
1684-5358,1684-5358,V112978253,"African Journal of Food, Agriculture, Nutrition and Development","African Journal of Food, Agriculture, Nutrition and Development",1315,2016-06-24,issn
1684-5374,1684-5358,V112978253,"African Journal of Food, Agriculture, Nutrition and Development","African Journal of Food, Agriculture, Nutrition and Development",1315,2016-06-24,issn
2218-5615,2218-5615,V4210226977,African journal of governance and development,"University of KwaZulu-Natal School of Management, IT and Governance",5,2022-02-03,issn
1022-9272,1022-9272,V72541820,African Journal of Health Sciences,African Journals Online,588,2016-06-24,issn
2006-0165,2006-0165,V150869501,African Journal of Infectious Diseases,African Traditional Herbal Medicine Supporters Initiative (ATHMSI),212,2016-06-24,issn
0850-7902,0850-7902,V89184246,African Journal of International Affairs,African Journals Online,85,2016-06-24,issn
0795-4778,NA,NA,NA,NA,NA,NA,NA
1596-4019,NA,NA,NA,NA,NA,NA,NA
2343-6689,2343-6689,V4210208908,African Journal of Management Research,African Journals Online,0,2022-02-03,issn
2458-7435,2343-6689,V4210208908,African Journal of Management Research,African Journals Online,0,2022-02-03,issn
1814-232X,1814-232X,V121195568,African Journal of Marine Science,Taylor & Francis,1846,2016-06-24,issn
1814-2338,1814-232X,V121195568,African Journal of Marine Science,Taylor & Francis,1846,2016-06-24,issn
1992-2647,1015-8618,V149137520,African Journal of Neurological Sciences,African Journals Online,400,2016-06-24,issn
1015-8618,1015-8618,V149137520,African Journal of Neurological Sciences,African Journals Online,400,2016-06-24,issn
0189-5710,0189-5710,V4210185996,African Journal of Oral Health,African Journals Online,59,2022-02-03,issn
1608-7232,1608-7232,V4210216904,African journal of oral health sciences,African Journals Online,45,2022-02-03,issn
2354-4325,NA,NA,NA,NA,NA,NA,NA
0189-6725,0974-5998,V176661866,African Journal of Paediatric Surgery,NA,911,2016-06-24,issn
2141-8322,2141-8322,V4210218651,African Journal of Physiotherapy and Rehabilitation Sciences,African Journals Online,70,2022-02-03,issn
1027-0353,1027-0353,V2765047149,African Journal of Political Science,African Journals Online,128,2017-10-27,issn
1994-8220,1994-8220,V4210224008,African journal of psychiatry,OMICS Publishing Group,0,2022-02-03,issn
1022-0119,1022-0119,V98916874,African Journal of Range & Forage Science,Taylor & Francis,1610,2016-06-24,issn
1727-9380,1022-0119,V98916874,African Journal of Range & Forage Science,Taylor & Francis,1610,2016-06-24,issn
1118-4841,1118-4841,V22933603,African Journal of Reproductive Health,African Journal of Reproductive Health (AJRH),1727,2016-06-24,issn
2307-2482,NA,NA,NA,NA,NA,NA,NA
1607-9949,1607-9949,V115255960,African Journal of Science and Technology,African Journals Online,220,2016-06-24,issn
1563-3934,NA,NA,NA,NA,NA,NA,NA
2409-5605,NA,NA,NA,NA,NA,NA,NA
2315-6317,NA,NA,NA,NA,NA,NA,NA
0189-6016,2505-0044,V23922572,"African Journal of Traditional, Complementary and Alternative Medicines",African Traditional Herbal Medicine Supporters Initiative (ATHMSI),1630,2016-06-24,issn
0002-0036,0002-0036,V4210175198,African journal of tropical hydrobiology and fisheries,African Journals Online,45,2022-02-03,issn
1110-5704,1110-5704,V92813228,African Journal of Urology,Springer Nature,1163,2016-06-24,issn
1562-6997,1562-6997,V69933324,African Journal on Conflict Resolution,African Journals Online,320,2016-06-24,issn
1994-9057,1994-9057,V1535467,African Research Review,African Journals Online,1330,2016-06-24,issn
2070-0083,1994-9057,V1535467,African Research Review,African Journals Online,1330,2016-06-24,issn
2042-1478,NA,NA,NA,NA,NA,NA,NA
1728-774X,1728-774X,V165972105,African Safety Promotion,African Journals Online,305,2016-06-24,issn
1027-4332,1027-4332,V4210191999,African sociological review,African Journals Online,205,2022-02-03,issn
1119-7196,1119-7196,V4210227510,African Studies Monographs,African Journals Online,0,2022-02-03,issn
1562-7020,1562-7020,V5885750,African Zoology,Taylor & Francis,1462,2016-06-24,issn
2224-073X,1562-7020,V5885750,African Zoology,Taylor & Francis,1462,2016-06-24,issn
2316-090X,2316-090X,V4210229953,Afrika statistika,Statistics and Probability African Society (SPAS),36,2022-02-03,issn
2141-162X,NA,NA,NA,NA,NA,NA,NA
1813-548X,1813-548X,V4210172354,Afrique science,African Journals Online,128,2022-02-03,issn
2225-8590,2225-8590,V2764371241,AFRREV IJAH: An International Journal of Arts and Humanities,African Journals Online,553,2017-10-27,issn
2227-5452,2225-8590,V2764371241,AFRREV IJAH: An International Journal of Arts and Humanities,African Journals Online,553,2017-10-27,issn
2225-8604,2225-8604,V2764721198,"AFRREV LALIGENS: An International Journal of Language, Literature and Gender Studies",African Journals Online,227,2017-10-27,issn
2227-5460,2225-8604,V2764721198,"AFRREV LALIGENS: An International Journal of Language, Literature and Gender Studies",African Journals Online,227,2017-10-27,issn
2225-8612,2225-8612,V2765048638,AFRREV STECH: An International Journal of Science and Technology,African Journals Online,190,2017-10-27,issn
2227-5444,2225-8612,V2765048638,AFRREV STECH: An International Journal of Science and Technology,African Journals Online,190,2017-10-27,issn
0855-5591,0855-5591,V4210199477,Agricultural and Food Science Journal of Ghana,African Journals Online,38,2022-02-03,issn
1119-7455,1119-7455,V4210213676,Agro-Science,African Journals Online,529,2022-02-03,issn
1015-2288,1015-2288,V4210224977,Agronomie africaine,African Journals Online,201,2022-02-03,issn
1117-9996,1117-9996,V4210183203,Agrosearch,African Journals Online,209,2022-02-03,issn
1110-0834,NA,NA,NA,NA,NA,NA,NA
2090-2948,NA,NA,NA,NA,NA,NA,NA
2707-7179,NA,NA,NA,NA,NA,NA,NA
2226-6054,2226-6054,V4210186870,Anatomy journal of Africa,African Journals Online,0,2022-02-03,issn
2305-9478,2226-6054,V4210186870,Anatomy journal of Africa,African Journals Online,0,2022-02-03,issn
0794-4721,0794-4721,V2764988676,Animal Production Research Advances,African Journals Online,345,2017-10-27,issn
1597-3115,1597-3115,V2764605548,Animal Research International,African Journals Online,604,2017-10-27,issn
0254-4296,0254-4296,V4210176709,Annales aequatoria,African Journals Online,0,2022-02-03,issn
1659-5009,1659-5009,V4210219355,Annales des Sciences Agronomiques,African Journals Online,108,2022-02-03,issn
1596-3519,1596-3519,V193927184,Annals of African Medicine,Medknow Publications,913,2016-06-24,issn
1999-9674,1999-9674,V2764674579,The Annals of African Surgery,African Journals Online,358,2017-10-27,issn
2523-0816,1999-9674,V2764674579,The Annals of African Surgery,African Journals Online,358,2017-10-27,issn
1596-6569,1596-6569,V2765029689,Annals of Biomedical Sciences,African Journals Online,493,2017-10-27,issn
2141-4343,NA,NA,NA,NA,NA,NA,NA
1597-1627,1597-1627,V2764963560,Annals of Ibadan postgraduate medicine,African Journals Online,339,2017-10-27,issn
2141-9248,2141-9248,V2755479478,Annals of Medical and Health Sciences Research,Medknow Publications,1366,2017-09-25,issn
2141-1263,NA,NA,NA,NA,NA,NA,NA
0331-3131,0331-3131,V2764487680,Annals of Nigerian Medicine,Medknow Publications,170,2017-10-27,issn
1687-4137,1687-4137,V2764809823,Annals of Pediatric Surgery,Springer Nature,523,2017-10-27,issn
1858-554X,1858-554X,V2765053238,Arab journal of nephrology and transplantation,African Journals Online,144,2017-10-27,issn
1467-6958,1467-6958,V2764546535,Archives of Ibadan Medicine,African Journals Online,140,2017-10-27,issn
1694-2086,1694-2086,V4210218792,Archivesof Medical and Biomedical Research,African Journals Online,0,2022-02-03,issn
1694-2078,1694-2078,V4210214942,Archives of Medical and Biomedical Research,African Journals Online,30,2022-02-03,issn
1596-6305,NA,NA,NA,NA,NA,NA,NA
2545-5672,NA,NA,NA,NA,NA,NA,NA
2635-3792,NA,NA,NA,NA,NA,NA,NA
2006-6996,2006-6996,V2765077765,Bayero Journal of Pure and Applied Sciences,African Journals Online,1218,2017-10-27,issn
0795-0268,0795-0268,V4210186919,The Resident doctor,African Journals Online,69,2022-02-03,issn
1596-7409,1596-7409,V4210219689,Bio-Research,African Journals Online,299,2022-02-03,issn
2705-3822,2705-3822,V4210200218,Bio Research Journal,NA,13,2022-02-03,issn
0795-8080,0795-8080,V4210171072,Biokemistri,African Journals Online,85,2022-02-03,issn
1810-0163,1810-0163,V4210192234,The Botswana journal of economics,African Journals Online,17,2022-02-03,issn
1019-1593,1019-1593,V2764631963,Botswana Journal of Technology,African Journals Online,199,2017-10-27,issn
1597-2836,1597-2836,V2764918330,Bowen Journal of Agriculture,African Journals Online,117,2017-10-27,issn
0378-9721,0378-9721,V4210213555,Bulletin of animal health and production in Africa,African Journals Online,0,2022-02-03,issn
1011-3924,1011-3924,V170147049,Bulletin of The Chemical Society of Ethiopia,African Journals Online,1231,2016-06-24,issn
1726-801X,1011-3924,V170147049,Bulletin of The Chemical Society of Ethiopia,African Journals Online,1231,2016-06-24,issn
2705-313X,NA,NA,NA,NA,NA,NA,NA
2705-3121,NA,NA,NA,NA,NA,NA,NA
1813-3320,1813-3320,V4210240128,Cameroon journal of agricultural science,African Journals Online,36,2022-02-03,issn
1816-0573,1816-0573,V2764979688,Cameroon Journal of Experimental Biology,African Journals Online,159,2017-10-27,issn
0008-9176,0008-9176,V2754483521,The Central African journal of medicine,African Journals Online,3918,2017-09-25,issn
2276-707X,NA,NA,NA,NA,NA,NA,NA
2384-6028,NA,NA,NA,NA,NA,NA,NA
1812-5840,1812-5840,V4210168883,Clinics in mother and child health,OMICS Publishing Group,7,2022-02-03,issn
2090-7214,1812-5840,V4210168883,Clinics in mother and child health,OMICS Publishing Group,7,2022-02-03,issn
1115-2664,1115-2664,V4210227859,Communicate Journal of Library and Information Science,African Journals Online,14,2022-02-03,issn
2343-6530,2343-6530,V4210176217,Contemporary journal of African studies,African Journals Online,0,2022-02-03,issn
0256-2170,NA,NA,NA,NA,NA,NA,NA
2078-5143,NA,NA,NA,NA,NA,NA,NA
0189-0263,NA,NA,NA,NA,NA,NA,NA
2006-6910,NA,NA,NA,NA,NA,NA,NA
0256-004,NA,NA,NA,NA,NA,NA,NA
2310-7103,2310-7103,V4210235929,Critical studies in teaching and learning,University of the Western Cape Library Service,112,2022-02-03,issn
1013-929X,1013-929X,V4210222646,Current Writing: Text And Reception In Southern Africa,Taylor & Francis,605,2022-02-03,issn
2159-9130,1013-929X,V4210222646,Current Writing: Text And Reception In Southern Africa,Taylor & Francis,605,2022-02-03,issn
0856-7212,0856-7212,V4210211770,The Dar es Salaam Medical Students Journal,African Journals Online,67,2022-02-03,issn
1465-0142,1465-0142,V4210192125,Democracy & development,African Journals Online,10,2022-02-03,issn
1015-079X,1015-079X,V132756435,Discovery and Innovation,African Journals Online,964,2016-06-24,issn
0012-8325,0012-8325,V2764848868,East African agricultural and forestry journal,Taylor & Francis,1914,2017-10-27,issn
2714-2183,2714-2132,V4210183597,East African Journal of Education and Social Sciences,Gitoya Centre for Academic Research and Dissemination,136,2022-02-03,issn
2714-2132,2714-2132,V4210183597,East African Journal of Education and Social Sciences,Gitoya Centre for Academic Research and Dissemination,136,2022-02-03,issn
1021-8858,1021-8858,V2765055629,East African journal of peace and human rights,African Journals Online,312,2017-10-27,issn
0856-8960,0856-8960,V2764487253,East African journal of public health,African Journals Online,428,2017-10-27,issn
1992-0407,1992-0407,V2764820045,East African Journal of Sciences,African Journals Online,249,2017-10-27,issn
1811-7503,1811-7503,V4210189944,The East African journal of statistics,African Journals Online,28,2022-02-03,issn
0012-835X,0012-835X,V4140075,East African Medical Journal,African Journals Online,9129,2016-06-24,issn
1994-1072,1994-1072,V2764676297,East African Orthopaedic Journal,African Journals Online,197,2017-10-27,issn
2664-0996,2664-0996,V4210179451,East Africa science,East African Health Research Commission,33,2022-02-03,issn
2664-1003,2664-0996,V4210179451,East Africa science,East African Health Research Commission,33,2022-02-03,issn
1026-552X,1026-552X,V4210231973,East and Central African journal of pharmaceutical sciences,African Journals Online,0,2022-02-03,issn
2073-9990,1024-297X,V2764767905,East and Central African Journal of Surgery,NA,962,2017-10-27,issn
0377-7103,0377-7103,V2764948665,Eastern Africa Journal of Rural Development,African Journals Online,212,2017-10-27,issn
1027-1775,1027-1775,V187634432,Eastern Africa Social Science Research Review,NA,386,2016-06-24,issn
1684-4173,1027-1775,V187634432,Eastern Africa Social Science Research Review,NA,386,2016-06-24,issn
1597-1260,1597-1260,V2764455846,Ebonyi Medical Journal,African Journals Online,159,2017-10-27,issn
2006-7593,2006-7593,V4210225432,Edo Journal of Counselling,African Journals Online,59,2022-02-03,issn
1687-1502,1687-1502,V2764780494,The Egyptian Journal of Biochemistry and Molecular Biology,African Journals Online,199,2017-10-27,issn
1110-6859,1110-6859,V2764419720,Egyptian Journal of Biology,African Journals Online,212,2017-10-27,issn
1110-6379,1110-6379,V4210187233,Egyptian Journal of Biomedical Sciences,African Journals Online,19,2022-02-03,issn
1110-6093,1110-6093,V4210195812,Egyptian Journal of Biotechnology,African Journals Online,13,2022-02-03,issn
1687-2002,1687-2002,V2764396899,The Egyptian Journal of Hospital Medicine,Egypts Presidential Specialized Council for Education and Scientific Research,4527,2017-10-27,issn
2090-7125,1687-2002,V2764396899,The Egyptian Journal of Hospital Medicine,Egypts Presidential Specialized Council for Education and Scientific Research,4527,2017-10-27,issn
1110-8630,1110-8630,V3034796422,Egyptian Journal of Medical Human Genetics,Springer Nature,754,2020-06-19,issn
1110-5593,1110-5593,V4210205761,Egyptian Journal of Medical Laboratory Sciences,African Journals Online,0,2022-02-03,issn
1110-6867,1110-6867,V4210189579,Egyptian Journal of Natural History,African Journals Online,13,2022-02-03,issn
2006-1838,2006-1838,V4210201270,Ekpoma Journal of Theatre and Media Arts,African Journals Online,83,2022-02-03,issn
2449-1179,2006-1838,V4210201270,Ekpoma Journal of Theatre and Media Arts,African Journals Online,83,2022-02-03,issn
0376-8902,0376-8902,V2765004616,English in Africa,African Journals Online,650,2017-10-27,issn
2006-0459,NA,NA,NA,NA,NA,NA,NA
2705-3636,NA,NA,NA,NA,NA,NA,NA
2354-1814,NA,NA,NA,NA,NA,NA,NA
2682-5961,NA,NA,NA,NA,NA,NA,NA
1010-2728,1010-2728,V2764880931,Ergonomics SA : Journal of the Ergonomics Society of South Africa,African Journals Online,111,2017-10-27,issn
0376-4753,0376-4753,V2764633692,ESARBICA Journal: Journal of the Eastern and Southern Africa Regional Branch of the International Council on Archives,African Journals Online,220,2017-10-27,issn
0257-2605,NA,NA,NA,NA,NA,NA,NA
2415-2382,NA,NA,NA,NA,NA,NA,NA
1819-8678,1819-8678,V2764791641,Ethiopian Journal of Biological Sciences,African Journals Online,220,2017-10-27,issn
2311-9772,2311-9772,V4210214270,The Ethiopian journal of business and economics,African Journals Online,25,2022-02-03,issn
2410-2393,2311-9772,V4210214270,The Ethiopian journal of business and economics,African Journals Online,25,2022-02-03,issn
0378-0813,0378-0813,V4210178622,Ethiopian journal of development research,African Journals Online,0,2022-02-03,issn
1993-3681,1993-3681,V2764740247,Ethiopian Journal of Economics,African Journals Online,236,2017-10-27,issn
1998-8907,1998-8907,V2764684395,Ethiopian Journal of Education and Sciences,African Journals Online,202,2017-10-27,issn
1998-0507,1998-0507,V2764705680,Ethiopian Journal of Environmental Studies and Management,African Journals Online,650,2017-10-27,issn
1021-6790,1021-6790,V67352463,Ethiopian Journal of Health Development,African Journals Online,1290,2016-06-24,issn
1029-1857,1029-1857,V2764917827,Ethiopian journal of health sciences,African Journals Online,1136,2017-10-27,issn
1816-3378,1816-3378,V4210172151,The Ethiopian journal of science and technology,African Journals Online,102,2022-02-03,issn
2312-6019,1816-3378,V4210172151,The Ethiopian journal of science and technology,African Journals Online,102,2022-02-03,issn
1810-4487,1810-4487,V2764462295,Ethiopian journal of the social sciences and humanities,African Journals Online,151,2017-10-27,issn
2520-582X,1810-4487,V2764462295,Ethiopian journal of the social sciences and humanities,African Journals Online,151,2017-10-27,issn
1029-5933,1029-5933,V2764971028,Ethiopian Pharmaceutical Journal,African Journals Online,205,2017-10-27,issn
1683-6324,1683-6324,V2764722114,Ethiopian Veterinary Journal,African Journals Online,265,2017-10-27,issn
2221-5034,1683-6324,V2764722114,Ethiopian Veterinary Journal,African Journals Online,265,2017-10-27,issn
2276-8386,2276-8386,V4210202315,Filosofia Theoretica,African Journals Online,0,2022-02-03,issn
2408-5987,2408-5987,V4210236293,Filosofia Theoretica Online,African Journals Online,157,2022-02-03,issn
2579-0625,2579-0617,V4210174700,FUOYE Journal of Engineering and Technology,"Faculty of Engineering, Federal University Oye-Ekiti",19,2022-02-03,issn
2579-0617,2579-0617,V4210174700,FUOYE Journal of Engineering and Technology,"Faculty of Engineering, Federal University Oye-Ekiti",19,2022-02-03,issn
1597-8826,1597-8826,V4210230861,Futy Journal of the Environment,African Journals Online,70,2022-02-03,issn
1596-9231,1596-9231,V2764840140,Gender and behaviour,African Journals Online,1320,2017-10-27,issn
0855-0042,0855-0042,V2764641250,Ghana journal of agricultural science,African Journals Online,581,2017-10-27,issn
0855-6768,0855-6768,V2764465405,Ghana Journal of Development Studies,African Journals Online,299,2017-10-27,issn
0855-1707,0855-1707,V4210215191,Ghana journal of foresty,African Journals Online,42,2022-02-03,issn
0855-9414,0855-9414,V4210222929,Ghana Journal of Geography,African Journals Online,47,2022-02-03,issn
2026-6596,2026-6596,V4210186267,Ghana journal of linguistics,African Journals Online,66,2022-02-03,issn
0855-1448,0855-1448,V4210222645,Ghana Journal of Science,African Journals Online,0,2022-02-03,issn
0855-3033,0855-3033,V2764400042,Ghana Library Journal,African Journals Online,142,2017-10-27,issn
