issn_input,issn_l,display_name,publisher,works_count
1023-0564,1023-0564,Acta Structilia : Journal for the Physical and Development Sciences,AFRICAN SUN MeDIA,184
2415-0487,1023-0564,Acta Structilia : Journal for the Physical and Development Sciences,AFRICAN SUN MeDIA,184
1015-8758,1015-8758,Acta Theologica,AFRICAN SUN MeDIA,1082
2309-9089,1015-8758,Acta Theologica,AFRICAN SUN MeDIA,1082
0850-3907,0850-3907,Africa Development,African Journals Online,554
1560-8646,NA,NA,NA,NA
1021-9730,1021-9730,African Crop Science Journal,African Journals Online,1286
2072-6589,1021-9730,African Crop Science Journal,African Journals Online,1286
1680-6905,1680-6905,African Health Sciences,African Journals Online,2363
1119-5096,1119-5096,African Journal of Biomedical Research,African Journals Online,906
1684-5315,1684-5315,African Journal of Biotechnology,Academic Journals,12969
2227-5835,NA,NA,NA,NA
1595-689X,1595-689X,African Journal of Clinical and Experimental Microbiology,African Journals Online,649
1531-4065,1531-4065,African journal of drug and alcohol studies,African Journals Online,141
1821-8148,NA,NA,NA,NA
2453-5966,NA,NA,NA,NA
2508-1128,0855-501X,African Journal of Educational Studies in Mathematics and Sciences,African Journals Online,169
1996-0786,1996-0786,African Journal of Environmental Science and Technology,Academic Journals,1051
1684-5358,1684-5358,"African Journal of Food, Agriculture, Nutrition and Development","African Journal of Food, Agriculture, Nutrition and Development",1314
1684-5374,1684-5358,"African Journal of Food, Agriculture, Nutrition and Development","African Journal of Food, Agriculture, Nutrition and Development",1314
2006-0165,2006-0165,African Journal of Infectious Diseases,African Traditional Herbal Medicine Supporters Initiative (ATHMSI),212
2343-6689,NA,NA,NA,NA
2458-7435,NA,NA,NA,NA
1992-2647,1015-8618,African Journal of Neurological Sciences,African Journals Online,400
1015-8618,1015-8618,African Journal of Neurological Sciences,African Journals Online,400
0189-5710,NA,NA,NA,NA
2141-8322,NA,NA,NA,NA
1118-4841,1118-4841,African Journal of Reproductive Health,African Journal of Reproductive Health (AJRH),1727
1563-3934,NA,NA,NA,NA
2409-5605,NA,NA,NA,NA
0189-6016,0189-6016,"African Journal of Traditional, Complementary and Alternative Medicines",African Traditional Herbal Medicine Supporters Initiative (ATHMSI),1629
1110-5704,1110-5704,African Journal of Urology,Springer Nature,1156
1562-6997,1562-6997,African Journal on Conflict Resolution,African Journals Online,320
1994-9057,1994-9057,African Research Review,African Journals Online,1330
2070-0083,1994-9057,African Research Review,African Journals Online,1330
1728-774X,1728-774X,African Safety Promotion,African Journals Online,305
1027-4332,NA,NA,NA,NA
2316-090X,NA,NA,NA,NA
1813-548X,NA,NA,NA,NA
2225-8590,2225-8590,AFRREV IJAH: An International Journal of Arts and Humanities,African Journals Online,553
2227-5452,2225-8590,AFRREV IJAH: An International Journal of Arts and Humanities,African Journals Online,553
2225-8604,2225-8604,"AFRREV LALIGENS: An International Journal of Language, Literature and Gender Studies",African Journals Online,227
2227-5460,2225-8604,"AFRREV LALIGENS: An International Journal of Language, Literature and Gender Studies",African Journals Online,227
2225-8612,2225-8612,AFRREV STECH: An International Journal of Science and Technology,African Journals Online,190
2227-5444,2225-8612,AFRREV STECH: An International Journal of Science and Technology,African Journals Online,190
1119-7455,NA,NA,NA,NA
1015-2288,NA,NA,NA,NA
1117-9996,NA,NA,NA,NA
1110-0834,NA,NA,NA,NA
2090-2948,NA,NA,NA,NA
2226-6054,NA,NA,NA,NA
2305-9478,NA,NA,NA,NA
1597-3115,1597-3115,Animal Research International,African Journals Online,604
1999-9674,1999-9674,The Annals of African Surgery,African Journals Online,358
2523-0816,1999-9674,The Annals of African Surgery,African Journals Online,358
1597-1627,1597-1627,Annals of Ibadan postgraduate medicine,African Journals Online,323
2141-9248,2141-9248,Annals of Medical and Health Sciences Research,Medknow Publications,1365
1687-4137,1687-4137,Annals of Pediatric Surgery,Springer Nature,516
1694-2086,NA,NA,NA,NA
1694-2078,NA,NA,NA,NA
1596-6035,NA,NA,NA,NA
2006-6996,2006-6996,Bayero Journal of Pure and Applied Sciences,African Journals Online,1218
1011-3924,1011-3924,Bulletin of The Chemical Society of Ethiopia,African Journals Online,1212
1726-801X,1011-3924,Bulletin of The Chemical Society of Ethiopia,African Journals Online,1212
2276-707X,NA,NA,NA,NA
2384-6028,NA,NA,NA,NA
2006-6910,NA,NA,NA,NA
2310-7103,NA,NA,NA,NA
1994-1072,1994-1072,East African Orthopaedic Journal,African Journals Online,197
2073-9990,1024-297X,East and Central African Journal of Surgery,NA,962
1110-8630,1110-8630,Egyptian Journal of Medical Human Genetics,Springer Nature,752
2006-1838,NA,NA,NA,NA
2449-1179,NA,NA,NA,NA
0257-2605,NA,NA,NA,NA
2415-2382,NA,NA,NA,NA
1998-8907,1998-8907,Ethiopian Journal of Education and Sciences,African Journals Online,202
1998-0507,1998-0507,Ethiopian Journal of Environmental Studies and Management,African Journals Online,650
1021-6790,1021-6790,Ethiopian Journal of Health Development,African Journals Online,1290
1029-1857,1029-1857,Ethiopian journal of health sciences,African Journals Online,1135
1816-3378,NA,NA,NA,NA
2312-6019,NA,NA,NA,NA
1810-4487,1810-4487,Ethiopian journal of the social sciences and humanities,African Journals Online,151
2520-582X,1810-4487,Ethiopian journal of the social sciences and humanities,African Journals Online,151
1683-6324,1683-6324,Ethiopian Veterinary Journal,African Journals Online,265
2221-5034,1683-6324,Ethiopian Veterinary Journal,African Journals Online,265
0855-0042,0855-0042,Ghana journal of agricultural science,African Journals Online,581
0855-6768,0855-6768,Ghana Journal of Development Studies,African Journals Online,299
0855-9414,NA,NA,NA,NA
2026-6596,NA,NA,NA,NA
0855-1448,NA,NA,NA,NA
0016-9560,NA,NA,NA,NA
0855-210X,0855-210X,Ghana Mining Journal,African Journals Online,191
1596-6224,1596-6224,Global Journal of Educational Research,African Journals Online,247
1596-292X,1596-292X,Global Journal of Engineering Research,African Journals Online,154
